Age,Male,Female,Total
0-4,169731,161784,331515
05-09,181470,174091,355561
10-14,163378,156098,319476
15-19,154908,147908,302816
20-24,137584,136052,273636
25-29,145222,152213,297435
30-34,173179,188796,361975
35-39,191045,198376,389421
40-44,177482,179978,357460
45-49,162824,163286,326110
50-54,148212,151723,299935
55-59,133858,136244,270102
60-64,118698,120158,238856
65-69,104961,106275,211236
70-74,79501,82771,162272
75-79,54117,61350,115467
80-84,35196,45841,81037
85 and over,23062,44493,67555
